Income,Rent,Food,Transport,Shopping,Entertainment,Healthcare,Education,Bills,Other,Total_Expenses,Savings,Budget_Health,Expense_Ratio,Calculated_Savings,Spending_Level,Recommendation,Highest_Expense_Category
64353,12987,8541,5261,9389,4298,4569,4544,2035,4948,51624,12729,Saving,80.22003636194117,12729,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
87003,11799,5294,2358,6765,1304,1392,2449,5585,572,36946,50057,Saving,42.46520234934428,50057,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
77733,9465,6729,5637,2202,574,2530,1417,1275,2414,29829,47904,Saving,38.37366369495581,47904,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
90318,22019,3156,5854,9135,2675,3660,3674,3740,2972,53913,36405,Saving,59.692420115591574,36405,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
48664,18417,9330,4177,6567,4424,2876,2741,3289,3546,51821,-3157,Overspending,106.4873417721519,-3157,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
92172,23077,7334,3128,8667,2589,2433,589,2239,1207,50056,42116,Saving,54.307164865685884,42116,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
51736,13311,2732,3180,6742,540,1880,2209,6370,2304,36964,14772,Saving,71.4473480748415,14772,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
25854,22214,6330,5892,6788,2581,4181,2669,1125,4213,51780,-25926,Overspending,200.27848688790903,-25926,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
63623,19098,8801,1137,6408,2122,1790,4738,5065,3064,49159,14464,Saving,77.2660830202914,14464,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
32392,10177,6846,4472,9669,841,2140,3541,5312,2975,42998,-10606,Overspending,132.7426525067918,-10606,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
80680,19262,8731,3832,1922,4552,3182,605,4868,4110,46954,33726,Saving,58.19781854238969,33726,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
71717,13308,9176,4579,1419,2574,1487,1386,2208,4755,36137,35580,Saving,50.38833191572431,35580,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
75859,10949,9241,4031,3204,1145,1718,927,6342,3323,37557,38302,Saving,49.50895740782241,38302,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
51309,24222,2953,5164,2120,4763,1855,2395,4249,2235,47721,3588,Saving,93.00707478220195,3588,High Spending,High spending level. Monitor your Rent expenses and look for opportunities to save.,Rent
88734,6150,4539,3593,1950,1109,4765,816,1918,2085,24840,63894,Saving,27.993779160186627,63894,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
95467,6931,9056,5300,3336,954,4635,1134,6413,566,37759,57708,Saving,39.55188703950056,57708,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Food
77662,14204,5324,4818,6373,3453,2060,2425,4923,3561,43580,34082,Saving,56.11495969714918,34082,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
37688,23048,5301,5138,3243,2208,1918,2556,6757,2928,50169,-12481,Overspending,133.11664190193164,-12481,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
50342,6081,3542,4823,3645,3972,1454,3644,5403,4653,32564,17778,Saving,64.68555083230702,17778,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
62157,21896,7293,5042,5612,3469,1483,2770,6455,841,54020,8137,Saving,86.90895635246231,8137,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
92863,18407,7772,2906,2865,3528,1474,1939,2969,3274,41860,51003,Saving,45.07715667165609,51003,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
77083,12805,3191,1760,7028,3181,4633,1052,3793,3317,37443,39640,Saving,48.57491275637948,39640,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
90733,10237,8313,4445,8326,4129,4472,1215,1891,3161,43028,47705,Saving,47.422657687941545,47705,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
59698,21943,7512,1899,7371,4725,1413,4411,5470,1732,54744,4954,Saving,91.70156454152568,4954,High Spending,High spending level. Monitor your Rent expenses and look for opportunities to save.,Rent
47671,17775,4993,5455,7359,3567,536,2213,3033,4374,44931,2740,Saving,94.25227077258711,2740,High Spending,High spending level. Monitor your Rent expenses and look for opportunities to save.,Rent
50184,21244,8938,3947,8863,1886,3887,3889,2364,2901,55018,-4834,Overspending,109.63255220787502,-4834,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
67107,18184,4681,2719,4228,4276,2211,1607,1128,1994,39034,28073,Saving,58.166808231630085,28073,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
76663,8343,3217,1280,4719,3366,3520,4706,2014,4711,31165,45498,Saving,40.65194422341938,45498,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
40708,18500,3540,4266,3371,3863,1295,750,2799,1161,38384,2324,Saving,94.29104844256658,2324,High Spending,High spending level. Monitor your Rent expenses and look for opportunities to save.,Rent
74811,14662,8172,2887,3891,4624,4536,2930,6477,4383,48179,26632,Saving,64.40095707850449,26632,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
27811,21964,5236,4266,4756,648,3611,2554,5612,4119,48647,-20836,Overspending,174.91999568516056,-20836,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
81250,20125,7541,1666,5225,4350,1824,958,2518,2368,44207,37043,Saving,54.40861538461539,37043,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
97082,13130,4386,5188,1094,2558,817,707,5181,2834,33061,64021,Saving,34.054716631301375,64021,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
59754,24531,5719,1671,3674,1636,2896,1399,2198,3874,43724,16030,Saving,73.17334404391337,16030,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
36411,6679,7615,2969,7898,686,2662,3961,4873,1516,37343,-932,Overspending,102.55966603498943,-932,High Spending,Overspending detected. Review your Shopping expenses and reduce unnecessary spending.,Shopping
27911,8506,3388,5156,1793,3354,3245,3885,6238,4906,35565,-7654,Overspending,127.42287986815235,-7654,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
92270,18284,3856,4122,3116,1750,2091,521,3474,707,37214,55056,Saving,40.331635417795596,55056,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
33680,12253,3365,5699,6779,1833,3611,909,4485,3165,38934,-5254,Overspending,115.59976247030879,-5254,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
96295,24128,2499,5777,7166,4693,4430,1394,5049,2993,55136,41159,Saving,57.257386157121346,41159,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
36111,14435,3680,4900,1814,4650,2496,1014,4719,1132,37708,-1597,Overspending,104.42247514607736,-1597,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
62504,16310,2510,1523,1345,3211,1812,4609,1302,2602,32622,29882,Saving,52.19185972097786,29882,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
26802,18296,9494,3393,9554,2285,1785,2634,4952,3459,52393,-25591,Overspending,195.48168047160658,-25591,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
33155,23525,6312,4117,3443,1250,4811,4095,5683,3583,53236,-20081,Overspending,160.56703362992008,-20081,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
98656,18245,3324,3593,8783,2262,2883,3456,1986,2431,44532,54124,Saving,45.13866363931236,54124,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
64384,16151,3155,2968,1984,4420,3739,2060,2863,4219,37340,27044,Saving,57.99577534791253,27044,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
72254,15457,3827,2753,8790,4960,2639,1766,5440,3062,45632,26622,Saving,63.15498103911202,26622,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
46918,7479,5141,3296,1827,981,2204,2669,5909,2179,29506,17412,Saving,62.88844366767552,17412,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
85713,9452,9419,3261,4531,653,862,4138,4072,736,36388,49325,Saving,42.453303466218664,49325,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
55306,10881,5486,3286,8147,2024,3104,1249,6406,4943,40583,14723,Saving,73.37901855133259,14723,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
